n° SIRET,Pays,Catégorie,Sous-catégorie,Nom établissement,Adresse,Code postal,Ville,Site internet,Académie
,Suède,Ecoles internationales,Lycée,Swedish school of Paris,"9, rue Médéric",75017,Paris,www.svenskaskolanparis.com,Paris
,Algérie,Culture,Centre culturel,Centre culturel algérien de Paris,"171, rue de la Croix-Nivert ",75015,Paris,www.cca-paris.com,
,Allemagne,Culture,Centre culturel,Goethe-Institut,"17, avenue d'Iéna ",75016,Paris,www.goethe.de/ins/fr/par/,
,Arménie,Culture,Centre culturel,Institut de la mémoire arménienne,"47, rue de Cléry",75002,Paris,http://ovenk.com/,
,Autriche,Culture,Centre culturel,Forum culturel autrichien ,"17, avenue de Villars",75007,Paris,www.fca-fr.com,
,Belgique,Culture,Centre culturel,Centre Wallonie-Bruxelles à Paris,"127, rue Saint-Martin",75004,Paris,www.cwb.fr,
,Bulgarie,Culture,Centre culturel,Institut culturel bulgare,"28, rue de la Boétie",75008,Paris,www.ccbulgarie.com,
,Canada,Culture,Centre culturel,Centre culturel canadien,"5, rue de Constantine",75007,Paris,www.canada-culture.org,
,Espagne,Culture,Centre culturel,"Institut Ramon Llull, langue et culture catalanes","50, rue Saint-Ferdinant",75017,Paris,www.llull.cat/llull/,
,Chine,Culture,Centre culturel,Centre culturel de Chine à Paris,"1, boulevard de la Tour Maubourg",75007,Paris,www.cccparis.org,
,Corée du Sud,Culture,Centre culturel,Centre culturel coréen,"2, avenue d'Iéna ",75116,Paris,www.coree-culture.org,
,Danemark,Culture,Centre culturel,Maison du Danemark,"142, avenue des Champs-Élysées ",75008,Paris,www.maisondudanemark.dk,
,Egypte,Culture,Centre culturel,Centre culturel d'Egypte,"111, bd Saint-Michel ",75005,Paris,www.culture-egypte.com,
,Espagne,Culture,Centre culturel,Instituto Cervantes de Paris,"7, rue Quentin Bauchart ",75008,Paris,http://paris.cervantes.es,
,Estonie,Culture,Centre culturel,Ambassade d'Estonie,"17, rue de la Baume",75008,Paris,www.est-emb.fr,
,Etats-Unis,Culture,Centre culturel,Mona Bismarck American Center for Art & Culture,"34, avenue de New-York ",75016,Paris,www.monabismarck.org,
,Etats-Unis,Culture,Centre culturel,American Center for the Arts - Dorothy's gallery ,27 rue Keller,75011,Paris,http://dorothysgallery.com/art/infos-pratiques/centre-culturel-americain/,
,Etats-Unis,Culture,Centre culturel,New-York University in France,56 rue de Passy,75016,Paris,,
,Etats-Unis,Culture,Centre culturel,Terra Foundation for American Art,"29, rue des Pyramides, 75001 Paris,",75001,Paris,www.terraamericanart.org/europe,
,Finlande,Culture,Centre culturel,Institut finlandais,"60, rue des Ecoles ",75005,Paris,www.institut-finlandais.asso.fr,
,Grèce,Culture,Centre culturel,Centre culturel hellénique,23 rue de Galilée,75016,Paris,www.cchel.com/,
,Hongrie,Culture,Centre culturel,Institut hongrois,"92, rue Bonaparte ",75006,Paris,www.instituthongrois.fr,
,Iran,Culture,Centre culturel,Centre culturel d'Iran,"6, rue Jean Bart ",75006,Paris,http://paris.icro.ir/,
,Irlande,Culture,Centre culturel,Centre culturel irlandais,"5, rue des Irlandais ",75005,Paris,www.centreculturelirlandais.com,
,Italie,Culture,Centre culturel,Istituto italiano di cultura,"73, rue de Grenelle ",75007,Paris,www.iicparigi.esteri.it,
,Japon,Culture,Centre culturel,Maison de la culture du Japon à Paris,"101 bis, quai Branly",75015,Paris,www.mcjp.asso.fr,
,Luxembourg,Culture,Centre culturel,Mission culturelle du Luxembourg en France,"33, avenue Rapp",75007,Paris,www.facebook.com/pages/Mission-culturelle-du-Luxembourg-en-France/276873949512,
,Mexique,Culture,Centre culturel,Instituto cultural de México,"119, rue Vieille-du-Temple ",75003,Paris,www.mexiqueculture.org,
,Pologne,Culture,Centre culturel,Institut polonais,"31, rue Jean Goujon ",75008,Paris,www.institutpolonais.fr,
,Portugal,Culture,Centre culturel,Centre culturel Camões - Instituto da Cooperação e da Língua,"26, rue Raffet",75016,Paris,www.instituto-camoes.pt,
,Canada,Culture,Centre culturel,Délégation générale du Québec à Paris - Service des affaires culturelles,"66, rue Pergolèse",75016,Paris,www.quebec.fr,
,République tchèque,Culture,Centre culturel,Centre tchèque,"18, rue Bonaparte",75006,Paris,www.czechcentres.cz/paris,
,Roumanie,Culture,Centre culturel,Institut culturel roumain,"1, rue de l'Exposition",75007,Paris,www.institut-roumain.org,
,Royaume-Uni,Culture,Centre culturel,British council,"9-11, rue de Constantine ",75007,Paris,www.britishcouncil.fr,
,Russie,Culture,Centre culturel,Centre de Russie pour la Science et la Culture ,"61, rue Boissière",75016,Paris,www.russiefrance.org,
,Serbie,Culture,Centre culturel,Centre culturel de Serbie,"123, rue Saint-Martin ",75004,Paris,www.ccserbie.com,
,Slovaquie,Culture,Centre culturel,Institut slovaque de Paris,"125, rue du Ranelagh ",75016,Paris,www.siparis.mfa.sk,
,Suède ,Culture,Centre culturel,Institut suédois,"11, rue Payenne ",75003,Paris,www.institutsuedois.fr,
,Suisse,Culture,Centre culturel,Centre culturel suisse,"32-38, rue des Francs-Bourgeois",75003,Paris,www.ccsparis.com,
,Syrie,Culture,Centre culturel,Centre culturel arabe syrien ,"12, avenue de Tourville ",75007,Paris,www.centreculturelsyrien.info,
,Taïwan ,Culture,Centre culturel,Centre culturel de Taïwan à Paris,"78, rue de l'Université ",75007,Paris,www.ccacctp.org,
,Turquie,Culture,Centre culturel,Centre culturel Anatolie,"77, rue Lafayette ",75009,Paris,www.cca-anatolie.com/,
,Vietnam,Culture,Centre culturel,Centre culturel du Vietnam,"19-19 bis, rue Albert",75013,Paris,www.ccv-france.org,
,Afrique du Sud,Organismes économiques,Ambassade,Ambassade d'Afrique du Sud en France,"59, quai d’Orsay",75007,Paris,www.afriquesud.net,
,Algérie,Organismes économiques,Ambassade,Ambassade d'Algérie,"50, rue de Lisbonne",75008,Paris,www.amb-algerie.fr,
,Allemagne,Organismes économiques,Ambassade,Ambassade d'Allemagne en France,"13/15, avenue Franklin D. Roosevelt",75008,Paris,www.paris.diplo.de,
,Arabie Saoudite,Organismes économiques,Ambassade,Ambassade d'Arabie Saoudite,"5, avenue Hoche",75008,Paris,http://sefr.mofa.gov.sa/Detail.asp?InSectionID=2890&InNewsItemID=44703,
,Australie,Organismes économiques,Ambassade,Ambassade d'Australie en France,4 rue Jean Rey,75015,Paris,http://www.france.embassy.gov.au,
,Autriche,Organismes économiques,Ambassade,Ambassade d'Autriche ,"6, avenue Pierre 1er de Serbie",75016,Paris,www.amb-autriche.fr,
,Belgique,Organismes économiques,Ambassade,Ambassade de Belgique - Délégation Flamande,"6, rue Euler",75008,Paris,www.diplomatie.be/paris/ ,
,Belgique,Organismes économiques,Ambassade,Ambassade de Belgique - Région de Bruxelles-Capitale,"9, rue de Tilsitt",75017,Paris,www.brussels-france.com,
,Brésil,Organismes économiques,Ambassade,Ambassade du Brésil en France,"34, Cours Albert 1er",75008,Paris,http://paris.itamaraty.gov.br,
,Canada,Organismes économiques,Ambassade,Ambassade du Canada,"35, avenue Montaigne",75008,Paris,www.amb-canada.fr,
,Chine,Organismes économiques,Ambassade,Ambassade de Chine,"11, avenue George V",75008,Paris,www.amb-chine.fr,
,Corée du Sud,Organismes économiques,Ambassade,Ambassade de Corée du Sud,"125, rue de Grenelle",75007,Paris,http://fra.mofat.go.kr,
,Danemark,Organismes économiques,Ambassade,Ambassade du Danemark,"77, avenue Marceau",75016,Paris,www.ambparis.um.dk,
,Egypte,Organismes économiques,Ambassade,Ambassade de la République Arabe d'Egypte,"56, Avenue d'Iéna",75016,Paris,,
,Emirats Arabes Unis,Organismes économiques,Ambassade,Ambassade des Emirats Arabes Unis,"2, Boulevard de la Tour Maubourg ",75007,Paris,http://uae-embassy.ae/Embassies/fr,
,Espagne,Organismes économiques,Ambassade,Ambassade d'Espagne,"22, avenue Marceau",75008,Paris,www.exteriores.gob.es/embajadas/paris/es ,
,Etats-Unis,Organismes économiques,Ambassade,Ambassade des Etats-Unis d'Amérique ,"2, avenue Gabriel",75008,Paris,http://france.usembassy.gov,
,Finlande,Organismes économiques,Ambassade,Ambassade de Finlande,"1, place de Finlande",75007,Paris,www.finlande.fr,
,Grèce,Organismes économiques,Ambassade,Ambassade de Grèce (République hellénique),"17, rue Auguste Vacquerie",75016,Paris,www.amb-grece.fr,
,Hongrie,Organismes économiques,Ambassade,Ambassade de Hongrie,"5 bis, square de l'avenue Foch",75016,Paris,http://www.mfa.gov.hu/emb/paris,
,Inde,Organismes économiques,Ambassade,Ambassade d'Inde ,"15, rue Alfred Dehodencq",75016,Paris,www.ambinde.fr,
,Irlande,Organismes économiques,Ambassade,Ambassade d'Irlande,"12, Avenue Foch",75016,Paris,www.embassyofireland.fr,
,Israël,Organismes économiques,Ambassade,Ambassade d'Israël / Territoires palestiniens,"3, rue Rabelais",75008,Paris,http://paris1.mfa.gov.il,
,Italie,Organismes économiques,Ambassade,Ambassade d'Italie en France   ,"51, rue de Varenne",75007,Paris,www.ambparigi.esteri.it,
,Japon,Organismes économiques,Ambassade,Ambassade du Japon,"7, avenue Hoche",75008,Paris,www.fr.emb-japan.go.jp,
,Lettonie,Organismes économiques,Ambassade,Ambassade de Lettonie,6 villa Said,75018,Paris,www.mfa.gov.lv/fr/paris,
,Liban,Organismes économiques,Ambassade,Ambassade du Liban,"3, villa Copernic",75016,Paris,www.ambassadeliban.fr,
,Luxembourg,Organismes économiques,Ambassade,Ambassade du Luxembourg,"33, avenue Rapp",75007,Paris,http://paris.mae.lu/fr,
,Maroc,Organismes économiques,Ambassade,Ambassade du Maroc,"50, rue de Lisbonne",75008,Paris,www.amb-maroc.fr,
,Norvège ,Organismes économiques,Ambassade,Ambassade Royale de Norvège,"28, rue Bayard",75008,Paris,www.norvege.no,
,Nouvelle-Zélande,Organismes économiques,Ambassade,Ambassade de Nouvelle-Zélande,"7 ter, rue Léonard de Vinci",75019,Paris,www.nzembassy.com/fr/france,
,Pays-Bas,Organismes économiques,Ambassade,Ambassade des Pays-Bas,"7-9, rue Eblé",75007,Paris,www.amb-pays-bas.fr,
,Pologne,Organismes économiques,Ambassade,Ambassade de Pologne,"1, rue de Talleyrand",75007,Paris,www.paris.polemb.net ,
,Portugal,Organismes économiques,Ambassade,Ambassade du Portugal,"3, rue de Noisiel",75116,Paris,www.embaixada-portugal-fr.org,
,Qatar,Organismes économiques,Ambassade,Ambassade du Qatar,"1, rue de Tilsitt",75008,Paris,,
,République tchèque,Organismes économiques,Ambassade,Ambassade de la République Tchèque,"15, avenue Charles Floquet",75007,Paris,www.mzv.cz/paris ,
,Royaume-Uni,Organismes économiques,Ambassade,Ambassade du Royaume-Uni,"35, rue du Faubourg Saint-Honoré",75008,Paris,http://ukinfrance.fco.gov.uk/en/,
,Russie,Organismes économiques,Ambassade,Ambassade de la Fédération de Russie,"40-50, boulevard Lannes",75016,Paris,www.france.mid.ru,
,Sénégal,Organismes économiques,Ambassade,Ambassade du Sénégal ,"14, avenue Robert Schuman",75007,Paris,www.ambasseneparis.com,
,Singapour,Organismes économiques,Ambassade,Ambassade de Singapour,"16, rue Murillo",75008,Paris,www.mfa.gov.sg/paris-french,
,Slovaquie,Organismes économiques,Ambassade,Ambassade de Slovaquie,"14, avenue d'Eylau",75016,Paris,www.mzv.sk/paris,
,Suède,Organismes économiques,Ambassade,Ambassade de Suède ,"17, rue Barbet-de-Jouy",75007,Paris,www.amb-suede.fr,
,Suisse,Organismes économiques,Ambassade,Ambassade de Suisse,"142, rue de Grenelle",75007,Paris,www.eda.admin.ch/paris,
,Tunisie,Organismes économiques,Ambassade,Ambassade de Tunisie,"25, rue Barbet de Jouy",75007,Paris,http://ambassade-tunisie.fr/,
,Turquie,Organismes économiques,Ambassade,Ambassade de Turquie,"16, avenue de Lamballe",75016,Paris,,
,Ukraine,Organismes économiques,Ambassade,Ambassade d'Ukraine,"21, avenue de Saxe",75007,Paris,www.mfa.gov.ua/france,
,Vietnam,Organismes économiques,Ambassade,Ambassade du Vietnam,"62, rue Boileau",75016,Paris,www.ambassade-vietnam.com,
,Allemagne,Organismes économiques,Chambre de commerce ,Chambre Franco-Allemande de Commerce et d'Industrie,"18, rue Balard",75015,Paris,www.francoallemand.com,
,Belgique,Organismes économiques,Chambre de commerce ,Chambre de Commerce belgo-luxembourgeoise en France,"12, rue Pernelle",75004,Paris,,
,Luxembourg,Organismes économiques,Chambre de commerce ,Chambre de Commerce belgo-luxembourgeoise en France,"12, rue Pernelle",75004,Paris,,
,Canada,Organismes économiques,Chambre de commerce ,Chambre de Commerce France-Canada,"5, rue de Constantine",75007,Paris,www.ccfc-france-canada.com,
,Espagne,Organismes économiques,Chambre de commerce ,Chambre Officielle de Commerce d'Espagne en France,"22, rue Saint-Augustin",75002,Paris,www.cocef.com/‎ ,
,Etats-Unis,Organismes économiques,Chambre de commerce ,American Chamber of Commerce in France (AmCham),"77, rue de Miromesnil",75008,Paris,http://www.amchamfrance.org/en/ ,
,Finlande,Organismes économiques,Chambre de commerce ,Chambre de Commerce franco-finlandaise,"26, Avenue Franklin Roosevelt",75008,Paris,www.ccff.fr,
,Irlande,Organismes économiques,Chambre de commerce ,Chambre de Commerce et d'industrie franco-irlandaise,"33, rue de Miromesnil",75008,Paris,www.franceireland.com,
,Israël,Organismes économiques,Chambre de commerce ,Chambre de Commerce France-Israël,8 rue Freycinet,75016,Paris,www.israelvalley.com,
,Italie,Organismes économiques,Chambre de commerce ,Chambre de Commerce Italienne pour la France,5 Rue de Castiglione,75001,Paris,www.ccif-france.fr,
,Japon,Organismes économiques,Chambre de commerce ,Chambre de Commerce Japonaise en France,"1, avenue de Friedland ",75008,Paris,,
,Norvège ,Organismes économiques,Chambre de commerce ,Chambre de Commerce Franco-Norvégienne,"46, avenue de la Grande Armée",75017,Paris,http://www.ccfn.no/ ,
,Pologne,Organismes économiques,Chambre de commerce ,Chambre de Commerce et d'industrie polonaise en France,25 rue Taitbout,75009,Paris,,
,Portugal,Organismes économiques,Chambre de commerce ,Chambre de Commerce et d'Industrie Franco-Portugaise (CCIFP),"1-7, avenue de la Porte de Vanves",75014,Paris,www.ccifp.fr/,
,Royaume-Uni,Organismes économiques,Chambre de commerce ,Chambre de Commerce et d'industrie franco-britannique,"10, rue de la Bourse ",75002,Paris,http://francobritishchamber.org/  ,
,Suède,Organismes économiques,Chambre de commerce ,Chambre de Commerce Suédoise en France,"39, avenue Pierre 1er de Serbie",75008,Paris,http://ccsf.fr/  ,
,Suisse,Organismes économiques,Chambre de commerce ,Chambre de Commerce Suisse,"11, bis rue Scribe",75009,Paris,www.ccsf.com,
,Autriche,Organismes économiques,Mission économique (agences gouvernementales),Advantage Austria,"6, avenue Pierre 1er de Serbie",75016,Paris,www.advantageaustria.org/fr,
,Corée du Sud,Organismes économiques,Mission économique (agences gouvernementales),Kotra Paris (Korea Business Center),"19, avenue de l'Opéra",75001,Paris,www.kotra.fr ,
,Espagne,Organismes économiques,Mission économique (agences gouvernementales),Office Economique et Commercial de l'Ambassade d'Espagne,"11, avenue d'Iéna",75016,Paris,www.spainbusiness.fr,
,Espagne,Organismes économiques,Mission économique (agences gouvernementales),ACC1Ó - Invest in Catalonia / Compétitivité pour la Catalogne ,"3, rue La Boétie",75008,Paris,http://accio.gencat.cat,
,Finlande,Organismes économiques,Mission économique (agences gouvernementales),Finpro France (Finland Trade Centre),"23, rue Vernet",75008,Paris,www.finpro.fi,
,Irlande,Organismes économiques,Mission économique (agences gouvernementales),Enterprise Ireland,33 rue de Miromesnil,75008,Paris,www.enterprise-ireland.com,
,Italie,Organismes économiques,Mission économique (agences gouvernementales),ITA - Italian Trade Agency (Institut italien pour le commerce extérieur),"44, rue Paul Valery",75016,Paris,www.italtrade.com/countries/europe/francia,
,Royaume-Uni,Organismes économiques,Mission économique (agences gouvernementales),UK Trade & Investment - France,"35, rue du Faubourg Saint-Honoré",75008,Paris,www.gov.uk/government/world/organisations/uk-trade-investment-france.fr ,
