2002;Niigata (JPN);Niigata Stadium
2002;Oita (JPN);Oita Stadium
2002;Osaka (JPN);Nagai Stadium
2002;Saitama (JPN);Saitama Stadium
2002;Sapporo (JPN);Dome
2002;Seogwipo (CDS);Jeju World Cup Stadium
2002;Seogwipo (CDS);World Cup Stadium
2002;Seoul (CDS);World Cup Stadium
2002;Shizuoka (JPN);Stade Ecopa
2002;Shizuoka (JPN);Stadium Ecopa
2002;Suwon (CDS);World Cup Stadium
2002;Séoul (CDS);World Cup Stadium
2002;Ulsan (CDS);Munsu Football Stadium
2002;Yokohama (JPN);International Stadium
2006;Berlin;Olympia Stadion
2006;Berlin;Olympiastadion
2006;Cologne;RheinEnergieStadion
2006;Cologne;Rheinenergie Stadion
2006;Dortmund;Westfalenstadion
2006;Francfort;Waldstadion
2006;Gelsenkirchen;Arena AufSchalke
2006;Gelsenkirchen;Veltins-Arena
2006;Hambourg;AOL-Arena
2006;Hanovre;Niedersachenstadion
2006;Hanovre;Niedersachsenstadion
2006;Kaiserslautern;Fritz-Walter Stadion
2006;Kaiserslautern;Fritz-Walter-Stadion
2006;Leipzig;Zentralstadion
2006;Munich;Allianz-Arena
2006;Nuremberg;Frankenstadion
2006;Stuttgart;Gottlieb-Daimler Stadion
2006;Stuttgart;Gottlieb-Daimler-Stadion
2010;Bloemfontein;Free State Stadium
2010;Durban;Durban Stadium
2010;Durban;King Senzangakhona Stadium
2010;Johannesburg;Ellis Park
2010;Johannesburg;Ellis Park Stadium
2010;Johannesburg;Soccer City Stadium
2010;Le Cap;Green Point Stadium
2010;Mangaung/Bloemfontein;Free State STadium
2010;Mangaung/Bloemfontein;Free State Stadium
2010;Nelspruit;Mbombela
2010;Nelspruit;Mbombela Stadium
2010;Polokwane;Peter Mokaba
2010;Polokwane;Peter Mokaba Stadium
2010;Port Elizabeth;Nelson Mandela Bay Stadium
2010;Port Elizabeth;Nelson Mandela Stadium
2010;Pretoria;Loftus Versfeld Stadium
2010;Rustenburg;Royal Bafokeng Stadium
2010;Tshwane/Pretoria;Loftus Versfeld Stadium
2014;Belo Horizonte;Estadio Mineirao
2014;Brasilia;Estadio Nacional
2014;Cuiaba;Arena Pantanal
2014;Curitiba;Arena de Baixada
2014;Fortaleza;Estadio Castelao
2014;Manaus;Arena Amazônia
2014;Natal;Estadio das Dunas
2014;Porto Alegre;Estadio Beira-Rio
2014;Recife;Arena Pernambuco
2014;Rio de Janeiro;Maracana
2014;Salvador;Arena Fonte Nova
2014;Sao Paulo;Arena de Sao Paulo
