,Année,Stade URL,Nom pendant la CM (si différent),Capacité lors de la CM
,1982,http://fr.wikipedia.org/wiki/San_Mam%C3%A9s,,46223
,1982,http://fr.wikipedia.org/wiki/Stade_Martinez-Valero,,53290
,1982,http://fr.wikipedia.org/wiki/El_Molin%C3%B3n,,45153
,1982,http://fr.wikipedia.org/wiki/Stade_du_Riazor,,34190
,1982,http://fr.wikipedia.org/wiki/Stade_Santiago_Bernab%C3%A9u,,90800
,1982,http://fr.wikipedia.org/wiki/Stade_Vicente_Calder%C3%B3n,,65695
,1982,http://fr.wikipedia.org/wiki/Stade_La_Rosaleda,,34411
,1982,http://fr.wikipedia.org/wiki/Stade_Carlos_Tartiere,,28421
,1982,http://fr.wikipedia.org/wiki/La_Romareda,,41806
,1982,http://fr.wikipedia.org/wiki/Stade_Manuel_Ruiz_de_Lopera,,50253
,1982,http://fr.wikipedia.org/wiki/Sanchez_Pizjuan,,68110
,1982,http://fr.wikipedia.org/wiki/Mestalla,,47542
,1982,http://fr.wikipedia.org/wiki/Stade_Jos%C3%A9_Zorilla,,29990
,1982,http://fr.wikipedia.org/wiki/Stade_du_Balaidos,,36790
1986,1986,http://fr.wikipedia.org/wiki/Stade_Jalisco,,66000
,1986,http://fr.wikipedia.org/wiki/Stade_3_de_marzo,,30000
,1986,http://fr.wikipedia.org/wiki/Estadio_Sergio_Le%C3%B3n_Ch%C3%A1vez,,31000
,1986,http://fr.wikipedia.org/wiki/Estadio_Nou_Camp,,31000
,1986,http://fr.wikipedia.org/wiki/Stade_Azteca,,114580
,1986,http://fr.wikipedia.org/wiki/Estadio_Ol%C3%ADmpico_Universitario,,72000
,1986,http://fr.wikipedia.org/wiki/Estadio_Universitario,,44000
,1986,http://fr.wikipedia.org/wiki/Estadio_Tecnol%C3%B3gico,,34000
,1986,http://fr.wikipedia.org/wiki/Stade_Neza_86,,35000
,1986,http://fr.wikipedia.org/wiki/Stade_Corregidora,,39000
,1986,http://fr.wikipedia.org/wiki/Estadio_Nemesio_D%C3%ADez,,33000
1990,1990,http://fr.wikipedia.org/wiki/Stadio_San_Nicola,,56875
